Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;4403333;42.1;3997317;38.0
SPD;4771714;45.6;4534820;43.1
FDP;343411;3.3;804024;7.6
CSU;0;0.0;0;0.0
GRÜNE;691924;6.6;781405;7.4
PDS;44883;0.4;102356;1.0
REP;127577;1.2;138553;1.3
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;1728;0.0;1850;0.0
BSA;0;0.0;1013;0.0
LIGA;0;0.0;0;0.0
CM;1807;0.0;6016;0.1
ZENTRUM;1489;0.0;3757;0.0
GRAUE;51844;0.5;52399;0.5
NATURGESETZ;6039;0.1;8770;0.1
MLPD;2101;0.0;2125;0.0
Tierschutz;0;0.0;32307;0.3
ödp;8823;0.1;15116;0.1
PBC;0;0.0;9966;0.1
PASS;0;0.0;0;0.0
STATT Partei;6520;0.1;21941;0.2
BGD;107;0.0;0;0.0
DSU;0;0.0;0;0.0
DEMOKRATEN;104;0.0;594;0.0
FSU;0;0.0;0;0.0
LD;0;0.0;302;0.0
