Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;17473325;37.2;16089960;34.2
SPD;17966813;38.3;17140354;36.4
FDP;1558185;3.3;3258407;6.9
CSU;3657627;7.8;3427196;7.3
GRÜNE;3037902;6.5;3424315;7.3
PDS;1920420;4.1;2066176;4.4
REP;787757;1.7;875239;1.9
APD;1654;0.0;21533;0.0
BP;3324;0.0;42491;0.1
BüSo;8032;0.0;8103;0.0
BSA;0;0.0;1285;0.0
LIGA;3788;0.0;5195;0.0
CM;3559;0.0;19887;0.0
ZENTRUM;1489;0.0;3757;0.0
GRAUE;178450;0.4;238642;0.5
NATURGESETZ;59087;0.1;73193;0.2
MLPD;4932;0.0;10038;0.0
Tierschutz;0;0.0;71643;0.2
ödp;200138;0.4;183715;0.4
PBC;26864;0.1;65651;0.1
PASS;489;0.0;15040;0.0
STATT Partei;7927;0.0;63354;0.1
BGD;107;0.0;693;0.0
DSU;2395;0.0;606;0.0
DEMOKRATEN;104;0.0;8193;0.0
FSU;467;0.0;426;0.0
LD;221;0.0;302;0.0
