Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;641035;32.9;612217;31.4
SPD;686747;35.2;663081;34.0
FDP;46247;2.4;100649;5.2
CSU;0;0.0;0;0.0
GRÜNE;174265;8.9;199208;10.2
PDS;326446;16.8;289517;14.8
REP;32698;1.7;36645;1.9
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;0;0.0;793;0.0
BSA;0;0.0;272;0.0
LIGA;0;0.0;0;0.0
CM;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
GRAUE;32565;1.7;27097;1.4
NATURGESETZ;1360;0.1;5047;0.3
MLPD;320;0.0;518;0.0
Tierschutz;0;0.0;0;0.0
ödp;4476;0.2;4114;0.2
PBC;0;0.0;0;0.0
PASS;489;0.0;6400;0.3
STATT Partei;0;0.0;4514;0.2
BGD;0;0.0;0;0.0
DSU;137;0.0;0;0.0
DEMOKRATEN;0;0.0;0;0.0
FSU;0;0.0;266;0.0
LD;0;0.0;0;0.0
