Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;2745742;48.5;2451917;43.3
SPD;1875345;33.2;1742592;30.7
FDP;250324;4.4;560734;9.9
CSU;0;0.0;0;0.0
GRÜNE;468947;8.3;544782;9.6
PDS;18698;0.3;42994;0.8
REP;179655;3.2;175804;3.1
APD;0;0.0;21533;0.4
BP;0;0.0;0;0.0
BüSo;0;0.0;872;0.0
BSA;0;0.0;0;0.0
LIGA;400;0.0;0;0.0
CM;679;0.0;8772;0.2
ZENTRUM;0;0.0;0;0.0
GRAUE;19560;0.3;26823;0.5
NATURGESETZ;8761;0.2;11605;0.2
MLPD;1847;0.0;1901;0.0
Tierschutz;0;0.0;0;0.0
ödp;52699;0.9;41711;0.7
PBC;18222;0.3;23960;0.4
PASS;0;0.0;0;0.0
STATT Partei;0;0.0;12824;0.2
BGD;0;0.0;346;0.0
DSU;0;0.0;0;0.0
DEMOKRATEN;0;0.0;0;0.0
FSU;0;0.0;0;0.0
LD;0;0.0;0;0.0
