Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;2419299;50.1;2318625;47.8
CDU;1812370;37.5;1673495;34.5
CSU;0;0.0;0;0.0
GRÜNE;247447;5.1;353644;7.3
FDP;262227;5.4;342990;7.1
PDS;50007;1.0;50380;1.0
REP;0;0.0;13972;0.3
GRAUE;5386;0.1;7258;0.1
Tierschutz;0;0.0;17538;0.4
NPD;6536;0.1;12905;0.3
ödp;636;0.0;1737;0.0
PBC;3264;0.1;9246;0.2
DIE FRAUEN;0;0.0;0;0.0
BP;0;0.0;0;0.0
FAMILIE;0;0.0;0;0.0
CM;0;0.0;0;0.0
BüSo;1782;0.0;1278;0.0
HP;0;0.0;0;0.0
Violetten;0;0.0;0;0.0
AUFBRUCH;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
KPD;0;0.0;0;0.0
PRG;0;0.0;0;0.0
Schill;15980;0.3;43165;0.9
Deutschland;312;0.0;604;0.0
DSU;0;0.0;0;0.0
