Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;20059967;41.9;18488668;38.5
CDU;15336512;32.1;14167561;29.5
CSU;4311178;9.0;4315080;9.0
GRÜNE;2693794;5.6;4110355;8.6
FDP;2752796;5.8;3538815;7.4
PDS;2079203;4.3;1916702;4.0
REP;55947;0.1;280671;0.6
GRAUE;75490;0.2;114224;0.2
Tierschutz;8858;0.0;159655;0.3
NPD;103209;0.2;215232;0.4
ödp;56593;0.1;56898;0.1
PBC;71106;0.1;101645;0.2
DIE FRAUEN;2264;0.0;36832;0.1
BP;6757;0.0;9379;0.0
FAMILIE;15138;0.0;30045;0.1
CM;2413;0.0;15440;0.0
BüSo;22531;0.0;16958;0.0
HP;1385;0.0;2485;0.0
Violetten;840;0.0;2412;0.0
AUFBRUCH;2895;0.0;4697;0.0
ZENTRUM;1823;0.0;3127;0.0
KPD;686;0.0;1624;0.0
PRG;4363;0.0;7499;0.0
Schill;120330;0.3;400476;0.8
Deutschland;571;0.0;3953;0.0
DSU;6003;0.0;2003;0.0
