Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;496329;51.6;404738;42.0
CDU;311663;32.4;270318;28.1
CSU;0;0.0;0;0.0
GRÜNE;83956;8.7;156010;16.2
FDP;45522;4.7;65574;6.8
PDS;15298;1.6;20253;2.1
REP;0;0.0;1201;0.1
GRAUE;0;0.0;0;0.0
Tierschutz;0;0.0;0;0.0
NPD;4159;0.4;1956;0.2
ödp;0;0.0;0;0.0
PBC;0;0.0;0;0.0
DIE FRAUEN;0;0.0;2189;0.2
BP;0;0.0;0;0.0
FAMILIE;0;0.0;0;0.0
CM;0;0.0;0;0.0
BüSo;2210;0.2;890;0.1
HP;0;0.0;0;0.0
Violetten;0;0.0;0;0.0
AUFBRUCH;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
KPD;0;0.0;0;0.0
PRG;0;0.0;0;0.0
Schill;0;0.0;40309;4.2
Deutschland;0;0.0;810;0.1
DSU;0;0.0;0;0.0
