Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;727806;39.0;685170;36.6
CDU;516871;27.7;484017;25.9
CSU;0;0.0;0;0.0
GRÜNE;205312;11.0;274008;14.6
FDP;98660;5.3;124004;6.6
PDS;270099;14.5;212642;11.4
REP;3370;0.2;12768;0.7
GRAUE;18570;1.0;15910;0.8
Tierschutz;0;0.0;0;0.0
NPD;10893;0.6;11260;0.6
ödp;0;0.0;2319;0.1
PBC;531;0.0;3033;0.2
DIE FRAUEN;2264;0.1;7634;0.4
BP;0;0.0;0;0.0
FAMILIE;0;0.0;0;0.0
CM;0;0.0;0;0.0
BüSo;3130;0.2;1926;0.1
HP;931;0.0;1337;0.1
Violetten;0;0.0;0;0.0
AUFBRUCH;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
KPD;686;0.0;1624;0.1
PRG;0;0.0;0;0.0
Schill;2586;0.1;34481;1.8
Deutschland;0;0.0;538;0.0
DSU;0;0.0;0;0.0
